ticker,period,revenue,op_profit,net_income,total_assets,total_liab,equity,ocf,capex
005930,2025,333605938000000.0,43601051000000.0,45206805000000.0,566942110000000.0,130621773000000.0,436320337000000.0,85315148000000.0,47522179000000.0
000660,2025,97146675000000.0,47206319000000.0,42947902000000.0,176107659000000.0,55440908000000.0,120666751000000.0,,27518924000000.0
373220,2025,23671759000000.0,1346120000000.0,80803000000.0,67147953000000.0,37826277000000.0,29321676000000.0,4432277000000.0,10833917000000.0
207940,2025,4556971695180.0,2069221266630.0,1784352060593.0,11060741976837.0,3609631328852.0,7451110647985.0,,1391740885639.0
005380,2025,186254472000000.0,11467851000000.0,,368844849000000.0,241196612000000.0,127648237000000.0,,8366764000000.0
000270,2025,114140919000000.0,9078148000000.0,7554174000000.0,98979055000000.0,37788591000000.0,61190464000000.0,9054140000000.0,3764508000000.0
068270,2025,4162495108881.0,1168471345595.0,1031483789240.0,22334900189800.0,4982370370686.0,17352529819114.0,,108223875636.0
035420,2025,12035007218975.0,2208138388720.0,1818746310015.0,41084496327318.0,12131482961723.0,28953013365595.0,3095806604677.0,1234693161100.0
105560,2025,,8517711000000.0,5840715000000.0,797923033000000.0,737093044000000.0,60829989000000.0,,333440000000.0
005490,2025,69094886192787.0,1827063210829.0,504403472266.0,105192437963565.0,42814746926182.0,62377691037383.0,,5665150778832.0
247540,2025,2531576384113.0,143309899725.0,91587534892.0,4882022445703.0,2866014511120.0,2016007934583.0,214707183992.0,418130148124.0
086520,2025,3413021590101.0,213763514884.0,-105539603168.0,9778714530496.0,5291398401591.0,4487316128905.0,339076295162.0,786474151211.0
196170,2025,215858918957.0,106900077097.0,145172981930.0,698742517170.0,244299577022.0,454442940148.0,124127150186.0,23006600667.0
066970,2025,2154938965103.0,-156849943423.0,-534701333152.0,3134104265112.0,2457280374466.0,,-29205374598.0,137353241925.0
